Date,Total Active Users,Total Engaged Users,Feature Type,Editor Name,Model Name,Is Custom Model,Custom Model Training Date,Language Name,Feature Engaged Users,Suggestions Count,Acceptances Count,Lines Suggested,Lines Accepted,Chats,Chat Insertion Events,Chat Copy Events,PR Summaries Created,Repository Name
2025-07-02,20,19,IDE Code Completions,vscode,default,false,,csharp,6,496,150,1031,202,,,,,
2025-07-02,20,19,IDE Code Completions,vscode,default,false,,python,4,99,14,122,12,,,,,
2025-07-02,20,19,IDE Code Completions,vscode,default,false,,json,0,19,0,36,0,,,,,
2025-07-02,20,19,IDE Code Completions,vscode,default,false,,typescriptreact,1,7,1,7,0,,,,,
2025-07-02,20,19,IDE Code Completions,vscode,default,false,,yaml,2,42,4,57,3,,,,,
2025-07-02,20,19,IDE Code Completions,vscode,default,false,,xml,1,9,4,11,3,,,,,
2025-07-02,20,19,IDE Code Completions,vscode,default,false,,dotenv,1,15,2,17,2,,,,,
2025-07-02,20,19,IDE Code Completions,vscode,default,false,,unknown,0,2,0,2,0,,,,,
2025-07-02,20,19,IDE Code Completions,vscode,default,false,,html,1,3,2,3,2,,,,,
2025-07-02,20,19,IDE Code Completions,vscode,default,false,,pip-requirements,0,2,0,3,0,,,,,
2025-07-02,20,19,IDE Code Completions,vscode,default,false,,sql,0,3,0,14,0,,,,,
2025-07-02,20,19,IDE Code Completions,vscode,default,false,,jsonc,0,2,0,2,0,,,,,
2025-07-02,20,19,IDE Code Completions,JetBrains,default,false,,groovy,1,20,5,23,5,,,,,
2025-07-02,20,19,IDE Code Completions,JetBrains,default,false,,java,1,4,2,5,2,,,,,
2025-07-02,20,19,IDE Chat,vscode,default,false,,,11,,,,,151,0,1,,
2025-07-02,20,19,IDE Chat,JetBrains,default,false,,,2,,,,,21,5,11,,
2025-07-03,20,17,IDE Code Completions,vscode,default,false,,csharp,4,158,37,289,37,,,,,
2025-07-03,20,17,IDE Code Completions,vscode,default,false,,python,2,51,11,77,25,,,,,
2025-07-03,20,17,IDE Code Completions,vscode,default,false,,sql,1,26,5,57,2,,,,,
2025-07-03,20,17,IDE Code Completions,vscode,default,false,,yaml,0,7,0,14,0,,,,,
2025-07-03,20,17,IDE Code Completions,vscode,default,false,,xml,1,20,1,32,1,,,,,
2025-07-03,20,17,IDE Code Completions,vscode,default,false,,json,1,43,6,190,6,,,,,
2025-07-03,20,17,IDE Code Completions,vscode,default,false,,tex,1,1,1,1,1,,,,,
2025-07-03,20,17,IDE Code Completions,vscode,default,false,,jsonc,0,1,0,1,0,,,,,
2025-07-03,20,17,IDE Code Completions,JetBrains,default,false,,java,2,129,45,253,114,,,,,
2025-07-03,20,17,IDE Code Completions,JetBrains,default,false,,ini,0,3,0,3,0,,,,,
2025-07-03,20,17,IDE Code Completions,JetBrains,default,false,,groovy,1,5,2,5,2,,,,,
2025-07-03,20,17,IDE Code Completions,Vim,default,false,,python,0,3,0,3,0,,,,,
2025-07-03,20,17,IDE Chat,vscode,default,false,,,9,,,,,137,0,2,,
2025-07-03,20,17,IDE Chat,JetBrains,default,false,,,4,,,,,30,3,6,,
2025-07-04,15,14,IDE Code Completions,vscode,default,false,,json,0,10,0,175,0,,,,,
2025-07-04,15,14,IDE Code Completions,vscode,default,false,,csharp,4,379,78,644,19,,,,,
2025-07-04,15,14,IDE Code Completions,vscode,default,false,,sql,0,9,0,27,0,,,,,
2025-07-04,15,14,IDE Code Completions,vscode,default,false,,dotenv,1,15,1,15,1,,,,,
2025-07-04,15,14,IDE Code Completions,vscode,default,false,,unknown,0,5,0,22,0,,,,,
2025-07-04,15,14,IDE Code Completions,vscode,default,false,,python,0,21,0,24,0,,,,,
2025-07-04,15,14,IDE Code Completions,vscode,default,false,,html,0,2,0,4,0,,,,,
2025-07-04,15,14,IDE Code Completions,vscode,default,false,,typescriptreact,0,1,0,1,0,,,,,
2025-07-04,15,14,IDE Code Completions,Vim,default,false,,python,1,6,3,6,3,,,,,
2025-07-04,15,14,IDE Code Completions,JetBrains,default,false,,java,1,1,1,1,1,,,,,
2025-07-04,15,14,IDE Chat,vscode,default,false,,,10,,,,,180,0,18,,
2025-07-07,19,17,IDE Code Completions,vscode,default,false,,csharp,5,98,18,213,10,,,,,
2025-07-07,19,17,IDE Code Completions,vscode,default,false,,python,4,142,31,229,62,,,,,
2025-07-07,19,17,IDE Code Completions,vscode,default,false,,dockerfile,1,2,1,2,1,,,,,
2025-07-07,19,17,IDE Code Completions,vscode,default,false,,sql,1,10,2,11,1,,,,,
2025-07-07,19,17,IDE Code Completions,vscode,default,false,,xml,0,1,0,1,0,,,,,
2025-07-07,19,17,IDE Code Completions,vscode,default,false,,go,0,1,0,1,0,,,,,
2025-07-07,19,17,IDE Code Completions,JetBrains,default,false,,groovy,0,1,0,1,0,,,,,
2025-07-07,19,17,IDE Chat,JetBrains,default,false,,,2,,,,,18,5,10,,
2025-07-07,19,17,IDE Chat,vscode,default,false,,,11,,,,,300,0,7,,
2025-07-07,19,17,Dotcom Chat,,default,false,,,1,,,,,2,,,,
2025-07-08,22,21,IDE Code Completions,vscode,default,false,,csharp,5,211,72,549,157,,,,,
2025-07-08,22,21,IDE Code Completions,vscode,default,false,,python,2,66,15,74,9,,,,,
2025-07-08,22,21,IDE Code Completions,vscode,default,false,,xml,1,10,2,17,1,,,,,
2025-07-08,22,21,IDE Code Completions,vscode,default,false,,json,0,4,0,17,0,,,,,
2025-07-08,22,21,IDE Code Completions,vscode,default,false,,sql,1,27,1,37,1,,,,,
2025-07-08,22,21,IDE Code Completions,vscode,default,false,,typescriptreact,1,10,1,10,0,,,,,
2025-07-08,22,21,IDE Code Completions,vscode,default,false,,yaml,1,4,1,5,1,,,,,
2025-07-08,22,21,IDE Code Completions,vscode,default,false,,unknown,0,1,0,1,0,,,,,
2025-07-08,22,21,IDE Code Completions,vscode,default,false,,plantuml,0,1,0,1,0,,,,,
2025-07-08,22,21,IDE Code Completions,JetBrains,default,false,,java,2,25,7,40,16,,,,,
2025-07-08,22,21,IDE Code Completions,JetBrains,default,false,,groovy,2,28,6,50,13,,,,,
2025-07-08,22,21,IDE Code Completions,JetBrains,default,false,,ini,0,3,0,3,0,,,,,
2025-07-08,22,21,IDE Chat,vscode,default,false,,,12,,,,,270,0,9,,
2025-07-08,22,21,IDE Chat,JetBrains,default,false,,,2,,,,,23,2,8,,
2025-07-08,22,21,Dotcom Chat,,default,false,,,1,,,,,7,,,,
2025-07-09,15,12,IDE Code Completions,JetBrains,default,false,,groovy,1,28,4,31,4,,,,,
2025-07-09,15,12,IDE Code Completions,JetBrains,default,false,,java,0,1,0,1,0,,,,,
2025-07-09,15,12,IDE Code Completions,vscode,default,false,,scss,2,26,4,64,1,,,,,
2025-07-09,15,12,IDE Code Completions,vscode,default,false,,typescriptreact,2,69,16,101,7,,,,,
2025-07-09,15,12,IDE Code Completions,vscode,default,false,,csharp,4,376,137,1160,328,,,,,
2025-07-09,15,12,IDE Code Completions,vscode,default,false,,sql,2,152,42,211,44,,,,,
2025-07-09,15,12,IDE Code Completions,vscode,default,false,,xml,1,9,2,41,3,,,,,
2025-07-09,15,12,IDE Code Completions,vscode,default,false,,yaml,1,17,3,20,5,,,,,
2025-07-09,15,12,IDE Code Completions,vscode,default,false,,json,1,22,2,49,11,,,,,
2025-07-09,15,12,IDE Code Completions,vscode,default,false,,markdown,1,23,7,26,7,,,,,
2025-07-09,15,12,IDE Code Completions,vscode,default,false,,typescript,1,11,1,27,0,,,,,
2025-07-09,15,12,IDE Code Completions,vscode,default,false,,python,1,20,5,24,3,,,,,
2025-07-09,15,12,IDE Code Completions,vscode,default,false,,jsonc,1,3,1,40,20,,,,,
2025-07-09,15,12,IDE Code Completions,vscode,default,false,,dotenv,0,1,0,1,0,,,,,
2025-07-09,15,12,IDE Chat,vscode,default,false,,,9,,,,,222,0,17,,
2025-07-09,15,12,IDE Chat,JetBrains,default,false,,,1,,,,,6,1,1,,
2025-07-10,18,14,IDE Code Completions,vscode,default,false,,csharp,4,226,98,892,303,,,,,
2025-07-10,18,14,IDE Code Completions,vscode,default,false,,sql,1,56,14,104,25,,,,,
2025-07-10,18,14,IDE Code Completions,vscode,default,false,,typescriptreact,2,68,14,127,13,,,,,
2025-07-10,18,14,IDE Code Completions,vscode,default,false,,xml,1,8,4,10,5,,,,,
2025-07-10,18,14,IDE Code Completions,vscode,default,false,,scss,2,43,10,74,6,,,,,
2025-07-10,18,14,IDE Code Completions,vscode,default,false,,shellscript,0,3,0,3,0,,,,,
2025-07-10,18,14,IDE Code Completions,vscode,default,false,,python,3,97,9,125,8,,,,,
2025-07-10,18,14,IDE Code Completions,vscode,default,false,,jsonc,0,6,0,7,0,,,,,
2025-07-10,18,14,IDE Code Completions,vscode,default,false,,yaml,0,11,0,28,0,,,,,
2025-07-10,18,14,IDE Code Completions,vscode,default,false,,html,0,2,0,2,0,,,,,
2025-07-10,18,14,IDE Code Completions,vscode,default,false,,json,0,14,0,18,0,,,,,
2025-07-10,18,14,IDE Code Completions,vscode,default,false,,ini,0,1,0,1,0,,,,,
2025-07-10,18,14,IDE Code Completions,vscode,default,false,,objective-cpp,0,1,0,1,0,,,,,
2025-07-10,18,14,IDE Code Completions,JetBrains,default,false,,groovy,0,9,0,38,0,,,,,
2025-07-10,18,14,IDE Chat,vscode,default,false,,,11,,,,,339,0,17,,
2025-07-10,18,14,IDE Chat,JetBrains,default,false,,,1,,,,,7,0,4,,
2025-07-10,18,14,Dotcom Chat,,default,false,,,1,,,,,1,,,,
2025-07-11,19,17,IDE Code Completions,vscode,default,false,,python,3,82,16,105,17,,,,,
2025-07-11,19,17,IDE Code Completions,vscode,default,false,,csharp,4,231,66,764,128,,,,,
2025-07-11,19,17,IDE Code Completions,vscode,default,false,,sql,2,122,35,222,41,,,,,
2025-07-11,19,17,IDE Code Completions,vscode,default,false,,shellscript,1,14,6,15,7,,,,,
2025-07-11,19,17,IDE Code Completions,vscode,default,false,,typescriptreact,2,64,17,85,6,,,,,
2025-07-11,19,17,IDE Code Completions,vscode,default,false,,json,0,25,0,182,0,,,,,
2025-07-11,19,17,IDE Code Completions,vscode,default,false,,scss,0,8,0,11,0,,,,,
2025-07-11,19,17,IDE Code Completions,vscode,default,false,,dotenv,0,9,0,9,0,,,,,
2025-07-11,19,17,IDE Code Completions,vscode,default,false,,go,0,1,0,1,0,,,,,
2025-07-11,19,17,IDE Code Completions,vscode,default,false,,dockerfile,0,5,0,5,0,,,,,
2025-07-11,19,17,IDE Code Completions,vscode,default,false,,yaml,0,2,0,10,0,,,,,
2025-07-11,19,17,IDE Code Completions,JetBrains,default,false,,java,2,135,22,281,46,,,,,
2025-07-11,19,17,IDE Code Completions,JetBrains,default,false,,yaml,1,9,2,11,2,,,,,
2025-07-11,19,17,IDE Code Completions,JetBrains,default,false,,groovy,0,7,0,17,0,,,,,
2025-07-11,19,17,IDE Code Completions,Vim,default,false,,unknown,0,2,0,2,0,,,,,
2025-07-11,19,17,IDE Chat,vscode,default,false,,,13,,,,,317,0,24,,
2025-07-11,19,17,IDE Chat,JetBrains,default,false,,,2,,,,,23,7,11,,
2025-07-11,19,17,Dotcom Chat,,default,false,,,1,,,,,1,,,,
2025-07-14,17,16,IDE Code Completions,vscode,default,false,,python,3,175,37,207,40,,,,,
2025-07-14,17,16,IDE Code Completions,vscode,default,false,,csharp,4,505,208,1377,323,,,,,
2025-07-14,17,16,IDE Code Completions,vscode,default,false,,yaml,1,14,1,42,1,,,,,
2025-07-14,17,16,IDE Code Completions,vscode,default,false,,typescriptreact,2,60,12,86,8,,,,,
2025-07-14,17,16,IDE Code Completions,vscode,default,false,,xml,2,10,5,18,2,,,,,
2025-07-14,17,16,IDE Code Completions,vscode,default,false,,coffeescript,1,4,2,5,2,,,,,
2025-07-14,17,16,IDE Code Completions,vscode,default,false,,typescript,1,14,1,20,1,,,,,
2025-07-14,17,16,IDE Code Completions,vscode,default,false,,sql,2,39,6,68,7,,,,,
2025-07-14,17,16,IDE Code Completions,vscode,default,false,,terraform,0,3,0,6,0,,,,,
2025-07-14,17,16,IDE Code Completions,vscode,default,false,,json,0,9,0,100,0,,,,,
2025-07-14,17,16,IDE Code Completions,vscode,default,false,,dotenv,1,4,1,4,1,,,,,
2025-07-14,17,16,IDE Code Completions,vscode,default,false,,ini,0,2,0,2,0,,,,,
2025-07-14,17,16,IDE Code Completions,JetBrains,default,false,,yaml,2,45,11,58,14,,,,,
2025-07-14,17,16,IDE Code Completions,JetBrains,default,false,,java,1,14,7,31,15,,,,,
2025-07-14,17,16,IDE Code Completions,JetBrains,default,false,,shellscript,1,6,2,6,2,,,,,
2025-07-14,17,16,IDE Code Completions,JetBrains,default,false,,groovy,1,2,1,2,1,,,,,
2025-07-14,17,16,IDE Chat,vscode,default,false,,,13,,,,,278,0,15,,
2025-07-14,17,16,IDE Chat,JetBrains,default,false,,,2,,,,,38,6,13,,
2025-07-15,17,17,IDE Code Completions,vscode,default,false,,csharp,5,651,263,1683,457,,,,,
2025-07-15,17,17,IDE Code Completions,vscode,default,false,,python,2,186,50,300,90,,,,,
2025-07-15,17,17,IDE Code Completions,vscode,default,false,,typescript,2,7,2,28,1,,,,,
2025-07-15,17,17,IDE Code Completions,vscode,default,false,,yaml,1,28,1,40,1,,,,,
2025-07-15,17,17,IDE Code Completions,vscode,default,false,,typescriptreact,2,40,6,107,8,,,,,
2025-07-15,17,17,IDE Code Completions,vscode,default,false,,sql,1,18,2,50,3,,,,,
2025-07-15,17,17,IDE Code Completions,vscode,default,false,,json,0,43,0,499,0,,,,,
2025-07-15,17,17,IDE Code Completions,vscode,default,false,,xml,1,4,2,7,2,,,,,
2025-07-15,17,17,IDE Code Completions,vscode,default,false,,scss,1,1,1,1,0,,,,,
2025-07-15,17,17,IDE Code Completions,vscode,default,false,,terraform,0,2,0,7,0,,,,,
2025-07-15,17,17,IDE Code Completions,vscode,default,false,,jsonc,0,1,0,1,0,,,,,
2025-07-15,17,17,IDE Code Completions,JetBrains,default,false,,groovy,1,89,21,110,25,,,,,
2025-07-15,17,17,IDE Code Completions,JetBrains,default,false,,yaml,1,8,1,10,1,,,,,
2025-07-15,17,17,IDE Code Completions,JetBrains,default,false,,java,1,1,1,7,7,,,,,
2025-07-15,17,17,IDE Chat,vscode,default,false,,,11,,,,,380,0,17,,
2025-07-15,17,17,IDE Chat,JetBrains,default,false,,,3,,,,,4,0,1,,
2025-07-16,17,16,IDE Code Completions,JetBrains,default,false,,yaml,1,40,4,57,4,,,,,
2025-07-16,17,16,IDE Code Completions,JetBrains,default,false,,java,2,75,21,215,57,,,,,
2025-07-16,17,16,IDE Code Completions,JetBrains,default,false,,groovy,0,20,0,48,0,,,,,
2025-07-16,17,16,IDE Code Completions,JetBrains,default,false,,dockerfile,0,4,0,9,0,,,,,
2025-07-16,17,16,IDE Code Completions,JetBrains,default,false,,sql,0,3,0,4,0,,,,,
2025-07-16,17,16,IDE Code Completions,JetBrains,default,false,,dotenv,0,1,0,1,0,,,,,
2025-07-16,17,16,IDE Code Completions,JetBrains,default,false,,json,0,1,0,2,0,,,,,
2025-07-16,17,16,IDE Code Completions,JetBrains,default,false,,shellscript,0,3,0,3,0,,,,,
2025-07-16,17,16,IDE Code Completions,vscode,default,false,,csharp,4,235,105,657,208,,,,,
2025-07-16,17,16,IDE Code Completions,vscode,default,false,,yaml,4,116,11,117,11,,,,,
2025-07-16,17,16,IDE Code Completions,vscode,default,false,,typescriptreact,1,122,24,188,10,,,,,
2025-07-16,17,16,IDE Code Completions,vscode,default,false,,python,4,138,35,202,42,,,,,
2025-07-16,17,16,IDE Code Completions,vscode,default,false,,scss,1,44,5,137,2,,,,,
2025-07-16,17,16,IDE Code Completions,vscode,default,false,,json,0,16,0,285,0,,,,,
2025-07-16,17,16,IDE Code Completions,vscode,default,false,,sql,1,3,1,3,1,,,,,
2025-07-16,17,16,IDE Code Completions,vscode,default,false,,jsonc,0,2,0,2,0,,,,,
2025-07-16,17,16,IDE Code Completions,vscode,default,false,,plaintext,0,4,0,5,0,,,,,
2025-07-16,17,16,IDE Code Completions,vscode,default,false,,xml,0,8,0,8,0,,,,,
2025-07-16,17,16,IDE Code Completions,vscode,default,false,,typescript,2,10,2,10,1,,,,,
2025-07-16,17,16,IDE Code Completions,vscode,default,false,,shellscript,0,2,0,2,0,,,,,
2025-07-16,17,16,IDE Chat,vscode,default,false,,,10,,,,,321,0,15,,
2025-07-16,17,16,IDE Chat,JetBrains,default,false,,,2,,,,,26,14,15,,
2025-07-17,17,16,IDE Code Completions,JetBrains,default,false,,yaml,1,35,10,48,15,,,,,
2025-07-17,17,16,IDE Code Completions,JetBrains,default,false,,java,1,3,1,11,3,,,,,
2025-07-17,17,16,IDE Code Completions,JetBrains,default,false,,groovy,2,10,3,10,3,,,,,
2025-07-17,17,16,IDE Code Completions,JetBrains,default,false,,xml,0,1,0,7,0,,,,,
2025-07-17,17,16,IDE Code Completions,JetBrains,default,false,,dotenv,1,2,1,2,1,,,,,
2025-07-17,17,16,IDE Code Completions,JetBrains,default,false,,dockerfile,0,1,0,1,0,,,,,
2025-07-17,17,16,IDE Code Completions,JetBrains,default,false,,shellscript,0,3,0,3,0,,,,,
2025-07-17,17,16,IDE Code Completions,vscode,default,false,,scss,1,114,17,239,28,,,,,
2025-07-17,17,16,IDE Code Completions,vscode,default,false,,xml,1,5,2,9,1,,,,,
2025-07-17,17,16,IDE Code Completions,vscode,default,false,,csharp,4,466,158,1178,205,,,,,
2025-07-17,17,16,IDE Code Completions,vscode,default,false,,python,4,135,18,153,28,,,,,
2025-07-17,17,16,IDE Code Completions,vscode,default,false,,typescriptreact,3,103,33,190,43,,,,,
2025-07-17,17,16,IDE Code Completions,vscode,default,false,,json,0,27,0,100,0,,,,,
2025-07-17,17,16,IDE Code Completions,vscode,default,false,,jsonc,0,1,0,1,0,,,,,
2025-07-17,17,16,IDE Code Completions,vscode,default,false,,sql,1,10,5,13,4,,,,,
2025-07-17,17,16,IDE Code Completions,vscode,default,false,,yaml,3,44,23,52,23,,,,,
2025-07-17,17,16,IDE Code Completions,vscode,default,false,,javascript,0,8,0,8,0,,,,,
2025-07-17,17,16,IDE Code Completions,vscode,default,false,,typescript,1,16,5,16,4,,,,,
2025-07-17,17,16,IDE Code Completions,vscode,default,false,,unknown,0,5,0,5,0,,,,,
2025-07-17,17,16,IDE Code Completions,vscode,default,false,,go,0,2,0,2,0,,,,,
2025-07-17,17,16,IDE Code Completions,vscode,default,false,,terraform,0,2,0,6,0,,,,,
2025-07-17,17,16,IDE Chat,vscode,default,false,,,13,,,,,490,0,28,,
2025-07-17,17,16,IDE Chat,JetBrains,default,false,,,3,,,,,38,12,16,,
2025-07-18,16,14,IDE Code Completions,vscode,default,false,,csharp,4,199,85,449,91,,,,,
2025-07-18,16,14,IDE Code Completions,vscode,default,false,,yaml,1,40,1,48,1,,,,,
2025-07-18,16,14,IDE Code Completions,vscode,default,false,,typescriptreact,2,57,18,68,11,,,,,
2025-07-18,16,14,IDE Code Completions,vscode,default,false,,scss,2,119,17,240,18,,,,,
2025-07-18,16,14,IDE Code Completions,vscode,default,false,,python,2,87,15,104,12,,,,,
2025-07-18,16,14,IDE Code Completions,vscode,default,false,,json,1,44,21,233,172,,,,,
2025-07-18,16,14,IDE Code Completions,vscode,default,false,,sql,1,39,14,45,13,,,,,
2025-07-18,16,14,IDE Code Completions,vscode,default,false,,toml,0,2,0,2,0,,,,,
2025-07-18,16,14,IDE Code Completions,vscode,default,false,,markdown,1,33,3,34,3,,,,,
2025-07-18,16,14,IDE Code Completions,vscode,default,false,,perl,0,7,0,7,0,,,,,
2025-07-18,16,14,IDE Code Completions,vscode,default,false,,lua,0,4,0,4,0,,,,,
2025-07-18,16,14,IDE Code Completions,vscode,default,false,,xml,0,1,0,1,0,,,,,
2025-07-18,16,14,IDE Code Completions,vscode,default,false,,jsonc,0,1,0,1,0,,,,,
2025-07-18,16,14,IDE Code Completions,JetBrains,default,false,,groovy,2,74,11,140,13,,,,,
2025-07-18,16,14,IDE Code Completions,JetBrains,default,false,,json,1,7,1,7,1,,,,,
2025-07-18,16,14,IDE Code Completions,JetBrains,default,false,,java,1,8,2,23,6,,,,,
2025-07-18,16,14,IDE Chat,vscode,default,false,,,7,,,,,395,0,16,,
2025-07-18,16,14,IDE Chat,JetBrains,default,false,,,2,,,,,34,3,9,,
2025-07-21,12,11,IDE Code Completions,vscode,default,false,,python,1,123,23,155,20,,,,,
2025-07-21,12,11,IDE Code Completions,vscode,default,false,,csharp,3,33,12,84,18,,,,,
2025-07-21,12,11,IDE Code Completions,vscode,default,false,,yaml,0,2,0,7,0,,,,,
2025-07-21,12,11,IDE Code Completions,vscode,default,false,,typescriptreact,2,21,9,21,2,,,,,
2025-07-21,12,11,IDE Code Completions,vscode,default,false,,toml,0,4,0,4,0,,,,,
2025-07-21,12,11,IDE Code Completions,vscode,default,false,,dockerfile,0,1,0,1,0,,,,,
2025-07-21,12,11,IDE Code Completions,vscode,default,false,,terraform,0,2,0,18,0,,,,,
2025-07-21,12,11,IDE Code Completions,JetBrains,default,false,,java,2,59,17,107,32,,,,,
2025-07-21,12,11,IDE Code Completions,JetBrains,default,false,,yaml,1,7,4,7,4,,,,,
2025-07-21,12,11,IDE Chat,vscode,default,false,,,6,,,,,161,0,11,,
2025-07-21,12,11,IDE Chat,JetBrains,default,false,,,1,,,,,4,0,1,,
